id,category,topic,question,answer,keywords,context,related_topics
creator_011,pencipta,Nama ECOMBOT,Apa arti nama ECOMBOT?,ECOMBOT adalah singkatan yang menggabungkan ECO (ecology/ekologi) dan BOT (robot/chatbot). Nama ini mencerminkan misi platform sebagai asisten virtual yang membantu pembelajaran tentang ekologi lingkungan dan tradisi lokal yang berkelanjutan melalui teknologi chatbot.,"ecombot,nama,arti,ecology,chatbot",identitas_produk,"creator_001,character_001"
creator_012,pencipta,Latar Belakang Pembuatan,Mengapa ECOMBOT dibuat?,ECOMBOT dibuat untuk menjawab kebutuhan akan media pembelajaran yang interaktif dan mudah diakses tentang literasi lingkungan. Tim GreenVerse melihat pentingnya mengintegrasikan kearifan lokal seperti tradisi Mapag Hujan dengan pendekatan sains dan teknologi modern untuk menciptakan pembelajaran yang bermakna dan relevan bagi generasi digital.,"latar belakang,alasan,motivasi,kebutuhan",motivasi_pembuatan,"creator_001,value_001"
creator_013,pencipta,Inovasi ECOMBOT,Apa inovasi yang ditawarkan ECOMBOT?,ECOMBOT menawarkan inovasi berupa integrasi kearifan lokal (tradisi Mapag Hujan) dengan pendekatan STEAM (Science Technology Engineering Arts Mathematics) dalam format chatbot interaktif. Pengguna dapat belajar secara mandiri dengan bimbingan Aquano robot virtual berbaju adat Sunda yang ramah dan informatif.,"inovasi,keunggulan,diferensiasi,STEAM",keunggulan_produk,"creator_001,character_001,integration_001"
creator_014,pencipta,Target Pengguna,Siapa target pengguna ECOMBOT?,Target utama ECOMBOT adalah siswa tingkat SMP dan SMA yang belajar tentang lingkungan dan kimia hijau. Selain itu ECOMBOT juga dapat digunakan oleh guru sebagai media pembelajaran masyarakat umum yang ingin belajar tentang Mapag Hujan dan siapa saja yang peduli terhadap isu lingkungan.,"target,pengguna,siswa,guru,masyarakat",target_audiens,"creator_004,value_001"
creator_015,pencipta,Dampak yang Diharapkan,Apa dampak yang diharapkan dari ECOMBOT?,Tim GreenVerse berharap ECOMBOT dapat meningkatkan literasi lingkungan di kalangan pelajar dan masyarakat menumbuhkan kesadaran akan pentingnya melestarikan tradisi lokal yang berkelanjutan mendorong tindakan nyata dalam menjaga lingkungan dan menjadi model integrasi teknologi dengan kearifan lokal dalam pendidikan.,"dampak,harapan,tujuan,outcome",dampak_diharapkan,"creator_004,value_005"
creator_016,pencipta,Kontak Tim,Bagaimana menghubungi tim GreenVerse?,Untuk informasi lebih lanjut pertanyaan atau saran tentang ECOMBOT Anda dapat menghubungi tim GreenVerse melalui platform tempat ECOMBOT dihosting atau melalui institusi pendidikan tempat anggota tim bernaung. Tim terbuka untuk kolaborasi dan feedback untuk pengembangan ECOMBOT lebih lanjut.,"kontak,hubungi,komunikasi,feedback",informasi_kontak,"creator_001,resource_002"
about_001,tentang_ecombot,Apa itu ECOMBOT?,Apa itu ECOMBOT?,ECOMBOT adalah chatbot edukatif yang dikembangkan oleh tim GreenVerse untuk membantu pembelajaran tentang tradisi Mapag Hujan kimia hijau dan literasi lingkungan. ECOMBOT menghadirkan Aquano sebagai pemandu virtual berbaju adat Sunda yang siap menjawab pertanyaan dan memandu eksplorasi pembelajaran secara interaktif.,"ecombot,chatbot,edukatif,aquano,definisi",tentang_produk,"creator_001,character_001"
about_002,tentang_ecombot,Fitur ECOMBOT,Apa saja fitur ECOMBOT?,Fitur ECOMBOT mencakup: 1) Chatbot interaktif dengan Aquano sebagai pemandu 2) Konten pembelajaran STEAM terintegrasi 3) Informasi lengkap tentang tradisi Mapag Hujan 4) Penjelasan sains dan teknologi lingkungan 5) Tips praktis pengelolaan lingkungan 6) Data dan analisis efektivitas program 7) Sumber daya dan referensi tambahan.,"fitur,fungsi,kemampuan,layanan",fitur_produk,"character_004,integration_001"
about_003,tentang_ecombot,Cara Menggunakan,Bagaimana menggunakan ECOMBOT?,Menggunakan ECOMBOT sangat mudah: 1) Sapa Aquano dengan menyapa atau bertanya 2) Pilih topik yang ingin dipelajari atau ajukan pertanyaan langsung 3) Ikuti alur pembelajaran atau jelajahi secara bebas 4) Ajukan pertanyaan lanjutan untuk pendalaman materi 5) Gunakan tips dan panduan praktis yang diberikan 6) Bagikan pengetahuan yang didapat kepada orang lain.,"cara pakai,panduan,instruksi,tutorial",panduan_penggunaan,"greeting_001,character_004"
greeting_006,interaksi,Tentang Tim,Siapa pembuat chatbot ini?,Hai! Chatbot ECOMBOT ini dibuat oleh tim GreenVerse yang terdiri dari lima mahasiswa berbakat dari Pendidikan Kimia dan Ilmu Komputer. Kami berkolaborasi dalam program PKM-AMLI untuk menghadirkan media pembelajaran digital yang mengintegrasikan kearifan lokal dengan sains dan teknologi modern. Senang berkenalan denganmu!,"pembuat,kreator,tim,greenverse",info_pencipta,"creator_001,creator_002"
intro_001,pengenalan,Definisi Mapag Hujan,Apa itu Mapag Hujan?,Mapag Hujan merupakan tradisi masyarakat Jawa Barat khususnya di wilayah Subang dan Bandung yang dilaksanakan untuk menyambut datangnya musim hujan. Tradisi ini tidak hanya memiliki nilai spiritual melalui kegiatan doa dan pertunjukan seni tetapi juga menjadi sarana gotong royong masyarakat dalam membersihkan sungai saluran air dan lingkungan sekitar.,"mapag hujan,tradisi,jawa barat,bandung,subang,musim hujan",pengenalan_tradisi,"intro_002,intro_003,value_001"
intro_002,pengenalan,Definisi Mapag Hujan,Apa itu Mapag Hujan?,Mapag Hujan merupakan tradisi masyarakat Jawa Barat khususnya di wilayah Subang dan Bandung yang dilaksanakan untuk menyambut datangnya musim hujan. Tradisi ini tidak hanya memiliki nilai spiritual melalui kegiatan doa dan pertunjukan seni tetapi juga menjadi sarana gotong royong masyarakat dalam membersihkan sungai saluran air dan lingkungan sekitar.,"mapag hujan,tradisi,jawa barat,bandung,subang,musim hujan",pengenalan_tradisi,"intro_002,intro_003,value_001"
intro_003,pengenalan,Maraton Bebersih,Apa itu Maraton Bebersih Walungan dan Susukan?,Maraton Bebersih Walungan dan Susukan adalah gerakan yang didukung pemerintah komunitas akademisi dan masyarakat untuk membersihkan sungai (walungan) dan saluran air (susukan) dalam rangka mitigasi banjir di Kota Bandung. Kegiatan ini merupakan bagian dari tradisi Mapag Hujan yang lebih difokuskan pada upaya meningkatkan daya resapan air dan mengelola sampah.,"maraton bebersih,walungan,susukan,bersih sungai,mitigasi banjir",kegiatan_utama,"intro_001,tech_001"
intro_004,pengenalan,Filosofi Sunda,Apa arti Seba Tangkal Muru Cai?,Seba Tangkal Muru Cai adalah peribahasa dalam bahasa Sunda yang mencerminkan filosofi tradisi Mapag Hujan. Makna filosofisnya berkaitan dengan upaya menanam pohon (seba tangkal) untuk mengejar atau menjaga air (muru cai) yang sejalan dengan prinsip konservasi air dan pelestarian lingkungan.,"seba tangkal muru cai,peribahasa sunda,filosofi,konservasi air",filosofi_tradisi,"intro_001,tech_002"
intro_005,pengenalan,Wilayah Bandung,Bagaimana Mapag Hujan di Bandung?,Di Kota Bandung kegiatan Mapag Hujan lebih difokuskan pada upaya mitigasi banjir dengan cara meningkatkan daya resapan air mengelola sampah serta melestarikan lingkungan. Kegiatan ini didukung berbagai pihak seperti pemerintah komunitas akademisi dan masyarakat melalui gerakan Maraton Bebersih Walungan dan Susukan.,"bandung,kota bandung,mitigasi banjir,resapan air",pelaksanaan_bandung,"intro_001,intro_002"
intro_006,pengenalan,Wilayah Subang,Bagaimana Mapag Hujan di Subang?,Di Kabupaten Subang tradisi Ruwat Jagat Mapag Hujan dilaksanakan dengan menampilkan berbagai pertunjukan seni tradisional kegiatan gotong royong membersihkan lingkungan penanaman pohon dan penghijauan sebagai wujud rasa syukur dan kepedulian terhadap alam.,"subang,kabupaten subang,ruwat jagat,seni tradisional,gotong royong",pelaksanaan_subang,"intro_001,art_001"
green_001,kimia_hijau,Definisi Kimia Hijau,Apa itu kimia hijau?,Kimia hijau atau green chemistry adalah pendekatan yang bertujuan menjaga lingkungan supaya tetap bersih dan aman. Intinya semua proses dan produk kimia dibuat agar tidak menimbulkan limbah atau zat berbahaya bagi manusia dan alam. Kimia hijau mengarahkan semua aktivitas pada pelestarian lingkungan.,"kimia hijau,green chemistry,lingkungan,berkelanjutan",konsep_dasar_kimia_hijau,"green_002,green_003"
green_002,kimia_hijau,Pentingnya Kimia Hijau,Mengapa kimia hijau penting?,Kimia hijau memiliki peranan penting dalam mewujudkan lingkungan agar tetap terjaga dan terhindar dari pemanasan global bencana alam dan terhindar dari paparan bahan kimia berbahaya. Dalam proses kimia hijau kita harus selalu memikirkan pilihan yang lebih aman dan lebih baik pada bahan kimia maupun proses kimia.,"pentingnya,peran,pemanasan global,bencana alam,bahan berbahaya",pentingnya_kimia_hijau,"green_001,green_004"
green_003,kimia_hijau,Prinsip Kimia Hijau,Berapa prinsip kimia hijau?,Kimia hijau memiliki 12 prinsip yang diterapkan untuk menjaga lingkungan tetap bersih dan aman. Prinsip-prinsip ini mencakup pencegahan limbah penggunaan bahan yang lebih aman desain produk yang dapat terurai dan efisiensi energi.,"12 prinsip,prinsip kimia hijau,pencegahan limbah",prinsip_kimia_hijau,"green_001,green_005"
green_004,kimia_hijau,Contoh Penerapan,Apa contoh penerapan kimia hijau?,Contoh penerapan kimia hijau adalah mengganti gas pendingin CFC yang merusak lapisan ozon dengan gas yang lebih aman yaitu gas HCFC dan gas HFC. Di rumah kita bisa menerapkan prinsip kimia hijau dengan menggunakan bahan kimia secukupnya membuang pada tempatnya dan mengganti bahan berbahaya dengan bahan alami yang ramah lingkungan.,"contoh,CFC,HCFC,HFC,penerapan rumah",penerapan_kimia_hijau,"green_002,green_006"
green_005,kimia_hijau,Kimia Hijau di Rumah,Bagaimana menerapkan kimia hijau di rumah?,Prinsip kimia hijau dapat diterapkan di rumah dengan cara menggunakan bahan kimia secukupnya membuang bahan kimia pada tempatnya menyimpan dengan cara yang benar mengganti bahan kimia berbahaya dengan bahan alam yang lebih ramah lingkungan serta menggunakan kembali bahan plastik.,"rumah,penerapan praktis,bahan kimia rumah tangga,plastik",kimia_hijau_rumah_tangga,"green_004,value_003"
green_006,kimia_hijau,SDGs dan Kimia Hijau,Bagaimana hubungan kimia hijau dengan SDGs?,Kimia hijau mendukung 17 agenda pembangunan berkelanjutan hingga tahun 2030 yang dirancang PBB. Prinsip kimia hijau terintegrasi dalam agenda nomor 3 6 7 13 14 dan 15 terutama terkait hidup sehat dan sejahtera serta lingkungan yang aman dan bebas bahan berbahaya.,"SDGs,pembangunan berkelanjutan,PBB,2030,agenda",sdgs_kimia_hijau,"green_002,intro_001"
science_001,aspek_sains,Interaksi Air Hujan,Bagaimana interaksi air hujan dengan lingkungan?,Air hujan yang turun ke permukaan bumi akan berinteraksi dengan material di sekitarnya. Apabila sungai dipenuhi sampah air berpotensi melarutkan senyawa kimia berbahaya dari plastik logam berat hingga residu limbah rumah tangga. Penumpukan sampah di dasar sungai menyempitkan aliran air dan menyebabkan permukaan sungai naik sehingga lebih mudah meluap ke pemukiman saat hujan deras. Sampah yang menyumbat saluran air turut memperparah risiko banjir.,"air hujan,interaksi,lingkungan,sampah,sungai,banjir,senyawa kimia",sains_lingkungan,"science_002,tech_001"
science_002,aspek_sains,Dampak Banjir,Apa dampak banjir akibat sampah?,Apabila banjir terjadi senyawa kimia dari sampah akan terbawa ke pemukiman mencemari tanah serta berpotensi masuk ke air tanah. Hal ini membahayakan kesehatan manusia karena air yang tercemar sulit digunakan sebagai sumber kehidupan.,"banjir,dampak,pencemaran,air tanah,kesehatan,senyawa kimia",dampak_banjir,"science_001,science_003"
science_003,aspek_sains,Pencemaran Sampah,Apa pengaruh sampah terhadap kualitas lingkungan?,Pembuangan sampah sembarangan dan pengelolaan yang tidak tepat menyebabkan pencemaran pada air udara dan tanah. Pencemaran ini tidak hanya merusak ekosistem tetapi juga menimbulkan berbagai penyakit pada manusia. Sampah organik yang menumpuk akan mengalami dekomposisi dan dalam kondisi anaerob menghasilkan gas metana (CH₄) amonia (NH₃) hidrogen sulfida (H₂S) serta karbon dioksida (CO₂).,"sampah,pencemaran,lingkungan,kualitas,ekosistem",pencemaran_lingkungan,"science_004,tech_001"
science_004,aspek_sains,Gas Berbahaya,Gas apa yang dihasilkan sampah organik?,Sampah organik dalam kondisi anaerob menghasilkan gas metana (CH₄) amonia (NH₃) hidrogen sulfida (H₂S) serta karbon dioksida (CO₂). Gas-gas ini menimbulkan bau tidak sedap mencemari udara dan berkontribusi terhadap pemanasan global serta hujan asam.,"gas metana,CH4,amonia,NH3,hidrogen sulfida,H2S,CO2,dekomposisi,anaerob",gas_sampah,"science_003,science_001"
science_005,aspek_sains,pH Air Hujan,Berapa pH air hujan?,Air hujan secara alami sedikit bersifat asam dengan pH sekitar 5,6 akibat terlarutnya CO2 menjadi asam karbonat lemah (H2CO3). Dalam kondisi ini logam-logam seperti Fe Pb atau Zn dapat mengalami reaksi oksidasi dan pelarutan yang menghasilkan ion logam terlarut yang bersifat toksik.,"pH,air hujan,asam karbonat,H2CO3,CO2,asam",kimia_air_hujan,"science_001,science_006"
science_006,aspek_sains,Reaksi Oksidasi Logam,Bagaimana logam bereaksi dengan air hujan?,Logam seperti besi (Fe) dapat bereaksi dengan air hujan yang bersifat asam melalui reaksi Fe(s) + 2H+ → Fe2+ + H2(g). Reaksi oksidasi ini menyebabkan terbentuknya ion logam terlarut yang bersifat toksik dan dapat mencemari lingkungan.,"reaksi oksidasi,logam,Fe,ion logam,toksik",reaksi_kimia,"science_005,science_007"
science_007,aspek_sains,Mikroplastik,Apa itu mikroplastik?,Mikroplastik adalah fragmen plastik yang terbentuk akibat kombinasi paparan sinar UV abrasi mekanik dan aliran air. Meskipun plastik tidak larut mikroplastik bersifat persisten dan dapat masuk ke rantai makanan akuatik sehingga membahayakan ekosistem dan kesehatan manusia.,"mikroplastik,plastik,fragmentasi,UV,rantai makanan",pencemaran_plastik,"science_003,science_008"
science_008,aspek_sains,BOD dan COD,Apa itu BOD dan COD?,BOD (Biological Oxygen Demand) dan COD (Chemical Oxygen Demand) adalah parameter untuk mengukur kualitas air. Air dengan nilai BOD dan COD tinggi mengindikasikan banyaknya zat organik yang membutuhkan oksigen untuk terurai. Kondisi ini menyebabkan kadar oksigen terlarut menurun sehingga ikan dan biota air sulit bertahan hidup.,"BOD,COD,kualitas air,oksigen terlarut,biota air",parameter_air,"science_003,science_009"
science_009,aspek_sains,Eutrofikasi,Apa itu eutrofikasi?,Eutrofikasi adalah ledakan pertumbuhan alga yang terjadi akibat peningkatan konsentrasi nutrien (N dan P) di perairan. Air sungai yang tercemar mengalami perubahan pH peningkatan nutrien dan penurunan transparansi akibat suspensi partikel yang mengganggu ekosistem.,"eutrofikasi,alga,nutrien,nitrogen,fosfor,ekosistem",gangguan_ekosistem,"science_008,science_003"
science_010,aspek_sains,Air Lindi,Apa itu air lindi?,Air lindi (leachate) adalah cairan yang terbentuk dari dekomposisi sampah dan air hujan. Air ini meresap ke dalam tanah membawa senyawa organik kompleks logam berat dan mikroorganisme patogen yang menyebabkan perubahan struktur kimia tanah menurunkan kesuburan dan mencemari air tanah.,"air lindi,leachate,pencemaran tanah,air tanah,logam berat",pencemaran_tanah,"science_003,science_011"
science_011,aspek_sains,Emisi Metana TPA,Bagaimana TPA menghasilkan gas metana?,TPA terbuka (open dumping) dan sampah organik yang membusuk menjadi salah satu sumber signifikan metana secara global. Peningkatan emisi metana mempercepat proses pemanasan global yang berdampak langsung pada perubahan pola curah hujan dan distribusi air.,"TPA,metana,open dumping,emisi,pemanasan global",emisi_gas_rumah_kaca,"science_004,science_012"
science_012,aspek_sains,Perubahan Iklim,Bagaimana sampah mempengaruhi iklim?,Sampah berkontribusi signifikan terhadap perubahan iklim melalui emisi metana dari TPA. Peningkatan suhu global memperbesar laju evaporasi dan meningkatkan kandungan uap air di atmosfer. Saat terjadi kondensasi hujan yang turun cenderung memiliki intensitas tinggi dalam waktu singkat yang meningkatkan risiko banjir bandang.,"perubahan iklim,evaporasi,intensitas hujan,banjir bandang",dampak_iklim,"science_011,science_013"
science_013,aspek_sains,Infiltrasi Air,Apa pengaruh sampah terhadap infiltrasi air?,Permukaan tanah yang tertutup sampah atau beton menurunkan infiltrasi air ke dalam tanah. Hal ini meningkatkan run-off dan mempercepat aliran permukaan menuju sungai yang dapat memperparah banjir terutama di daerah dengan sistem drainase yang buruk.,"infiltrasi,run-off,aliran permukaan,drainase",hidrologi,"science_012,tech_001"
science_014,aspek_sains,Dekomposisi Anaerob,Bagaimana proses dekomposisi sampah organik?,Sampah organik mengalami dekomposisi dalam kondisi anaerob melalui aktivitas mikroorganisme anaerobik dengan reaksi C6H12O6 → 3CO2 + 3CH4. Proses ini menghasilkan gas metana yang memiliki potensi pemanasan global 25 kali lebih besar daripada CO2 dalam 100 tahun.,"dekomposisi,anaerob,mikroorganisme,reaksi kimia",proses_biologis,"science_004,science_011"
tech_001,aspek_teknologi,Biopori,Apa itu lubang biopori?,Lubang biopori merupakan inovasi teknologi ramah lingkungan berbentuk lubang silindris dengan diameter dan kedalaman tertentu yang berfungsi menjaga ketersediaan air tanah dengan memanfaatkan sampah organik. Lubang ini dirancang untuk meningkatkan daya serap tanah terhadap air hujan sekaligus mempercepat proses dekomposisi sampah organik menjadi kompos.,"biopori,lubang biopori,resapan air,kompos,drainase,teknologi ramah lingkungan",teknologi_mitigasi_banjir,"tech_002,science_001"
tech_002,aspek_teknologi,Fungsi Biopori,Apa fungsi lubang biopori?,Teknologi biopori diterapkan oleh masyarakat untuk meningkatkan daya resapan air ke dalam tanah dan mengurangi genangan air di lingkungan pemukiman. Lubang biopori juga berfungsi membantu proses dekomposisi sampah organik secara alami sehingga mengurangi timbunan sampah dan memperbaiki kualitas tanah.,"biopori,fungsi,resapan air,genangan,dekomposisi,sampah organik",fungsi_biopori,"tech_001,tech_003"
tech_003,aspek_teknologi,Penanaman Pohon,Apa manfaat penanaman pohon?,Kegiatan penghijauan dan penanaman pohon dilakukan dengan mempertimbangkan prinsip rekayasa konservasi tanah dan air. Penataan ini dilakukan di area berlereng dan dekat sungai untuk meningkatkan infiltrasi air hujan memperkuat struktur tanah dan mencegah erosi. Kegiatan ini berperan penting dalam meningkatkan infiltrasi air hujan memperkuat struktur tanah serta menurunkan risiko banjir dan erosi.,"penanaman pohon,penghijauan,kawasan resapan,infiltrasi,erosi,konservasi",teknologi_konservasi,"tech_001,tech_004"
tech_004,aspek_teknologi,Trash Boom,Apa itu trash boom?,Trash boom adalah hasil rekayasa struktur terapung yang dipasang di permukaan sungai untuk menahan sampah padat agar tidak terbawa arus ke hilir. Dalam kegiatan Mapag Hujan di Bandung masyarakat bersama komunitas lingkungan dan pemerintah daerah merancang serta memasang trash boom menggunakan bahan lokal seperti pipa PVC dan jaring plastik daur ulang. Teknologi ini terbukti efektif dalam menahan tumpukan sampah dan menjaga aliran air tetap lancar.,"trash boom,sampah sungai,jaring sampah,pipa PVC,struktur terapung",teknologi_pengelolaan_sampah,"tech_001,tech_005"
tech_005,aspek_teknologi,Kolam Retensi,Apa itu kolam retensi?,Kolam retensi adalah infrastruktur hijau berupa kolam penampungan air yang dibangun untuk menahan sementara air hujan yang berlebih sebelum dialirkan ke sistem drainase atau sungai. Kolam ini membantu mengurangi volume air yang langsung masuk ke sungai saat hujan deras sehingga mencegah banjir. Selama 2015-2024 telah dibangun 13 kolam retensi di Bandung.,"kolam retensi,kolam penampungan,infrastruktur hijau,tampung air,drainase",infrastruktur_banjir,"math_003,tech_001"
tech_006,aspek_teknologi,Ukuran Biopori,Berapa ukuran lubang biopori?,Lubang biopori dibuat dengan kedalaman sekitar 1 meter dan diameter antara 10-30 cm. Lubang harus dibuat tegak lurus agar efisiensinya maksimal dalam meningkatkan daya serap tanah terhadap air hujan.,"ukuran,dimensi,kedalaman,diameter,1 meter,10-30 cm",spesifikasi_biopori,"tech_001,tech_007"
tech_007,aspek_teknologi,Cara Membuat Biopori,Bagaimana cara membuat lubang biopori?,Cara membuat biopori: 1) Siapkan tanah di lokasi yang mudah menyerap air 2) Buat lubang menggunakan bor tanah dengan kedalaman 1 meter dan diameter 10-30 cm secara tegak lurus 3) Masukkan pipa PVC ke dalam lubang untuk mencegah tanah longsor 4) Isi lubang dengan sampah organik seperti daun kering atau sisa sayuran.,"cara membuat,langkah,prosedur,bor tanah,pipa PVC",panduan_biopori,"tech_006,tech_002"
tech_008,aspek_teknologi,Bahan Biopori,Apa bahan yang dibutuhkan untuk membuat biopori?,Bahan yang dibutuhkan untuk membuat biopori antara lain bor tanah untuk membuat lubang pipa PVC untuk mencegah longsor dan sampah organik seperti daun kering atau sisa sayuran untuk mengisi lubang. Semua bahan ini mudah ditemukan di sekitar kita.,"bahan,material,bor tanah,pipa PVC,sampah organik",bahan_biopori,"tech_007,tech_001"
tech_009,aspek_teknologi,Sistem Drainase Alami,Apa itu sistem drainase alami?,Sistem drainase alami adalah sistem yang memanfaatkan kemampuan alami tanah untuk menyerap air hujan. Biopori merupakan salah satu bentuk sistem drainase alami yang membantu air hujan meresap ke tanah dan mencegah banjir sekaligus mengubah sampah organik menjadi kompos yang bermanfaat.,"drainase alami,sistem alami,resapan alami",sistem_drainase,"tech_001,tech_002"
tech_010,aspek_teknologi,Teknologi Sederhana,Mengapa biopori disebut teknologi sederhana?,Biopori disebut teknologi sederhana karena menggunakan bahan yang mudah ditemukan seperti pipa PVC dan sampah organik serta cara pembuatannya tidak memerlukan keahlian khusus. Meskipun sederhana biopori sangat efektif untuk mitigasi banjir dan meningkatkan kualitas tanah.,"teknologi sederhana,mudah,efektif,terjangkau",aksesibilitas_teknologi,"tech_001,tech_007"
eng_001,aspek_engineering,Rekayasa Biopori,Apa aspek engineering dalam biopori?,Aspek engineering dalam biopori menekankan pada penerapan prinsip rekayasa dalam membuat solusi praktis berbasis teknologi sederhana. Melalui kegiatan Mapag Hujan masyarakat diminta merancang dan memodifikasi biopori sebagai rekayasa sistem drainase alami menggunakan bahan yang mudah ditemukan di sekitar seperti ember bekas botol plastik atau kaleng.,"engineering,rekayasa,modifikasi,inovasi",rekayasa_sistem,"tech_001,eng_002"
eng_002,aspek_engineering,Modifikasi Biopori,Bagaimana memodifikasi biopori?,Biopori dapat dimodifikasi menggunakan bahan alternatif seperti ember bekas botol plastik besar atau kaleng yang diberi lubang-lubang kecil. Prinsipnya tetap sama yaitu membuat ruang untuk air meresap dan sampah organik terurai. Modifikasi ini memungkinkan biopori diterapkan di berbagai kondisi lahan.,"modifikasi,alternatif,ember bekas,botol plastik,inovasi",inovasi_biopori,"eng_001,tech_001"
eng_003,aspek_engineering,Penempatan Biopori,Di mana sebaiknya menempatkan biopori?,Biopori sebaiknya ditempatkan di area yang sering tergenang air di sekitar pohon di taman atau halaman rumah dan di sepanjang jalan setapak. Penempatan strategis akan memaksimalkan fungsi biopori dalam menyerap air hujan dan mengurangi genangan.,"penempatan,lokasi,strategis,area genangan",strategi_penempatan,"eng_001,tech_002"
